step,action_dit_loss,epoch,lab/drift,lab/loss_gr00t,lab/loss_oft,lab/loss_pi,learning_rate/head,learning_rate/qwen_vl_interface,learning_rate/qwen_vl_interface. model.model.language_model.embed_ tokens,learning_rate/qwen_vl_interface. model.model.language_model.layers .18,learning_rate/qwen_vl_interface. model.model.language_model.layers .19,learning_rate/qwen_vl_interface. model.model.language_model.layers .20,learning_rate/qwen_vl_interface. model.model.language_model.layers .21,learning_rate/qwen_vl_interface. model.model.language_model.layers .22,learning_rate/qwen_vl_interface. model.model.language_model.layers .23,learning_rate/qwen_vl_interface. model.model.language_model.layers .24,learning_rate/qwen_vl_interface. model.model.language_model.layers .25,learning_rate/qwen_vl_interface. model.model.language_model.layers .26,learning_rate/qwen_vl_interface. model.model.language_model.layers .27,learning_rate/qwen_vl_interface. model.model.language_model.layers .28,learning_rate/qwen_vl_interface. model.model.language_model.layers .29,learning_rate/qwen_vl_interface. model.model.language_model.layers .30,learning_rate/qwen_vl_interface. model.model.language_model.layers .31,learning_rate/qwen_vl_interface. model.model.language_model.layers .32,learning_rate/qwen_vl_interface. model.model.language_model.layers .33,learning_rate/qwen_vl_interface. model.model.language_model.layers .34,learning_rate/qwen_vl_interface. model.model.language_model.layers .35,mse_score,timing/data,timing/model
110,1.4695079326629639,0.02,0.0006549362422029747,0.6429970860481262,0.31978940963745117,0.5067214965820312,8.187213662662538e-05,8.187213662662539e-06,8.187213662662539e-06,8.187213662662539e-06,8.187213662662539e-06,8.187213662662539e-06,8.187213662662539e-06,8.187213662662539e-06,8.187213662662539e-06,8.187213662662539e-06,8.187213662662539e-06,8.187213662662539e-06,8.187213662662539e-06,8.187213662662539e-06,8.187213662662539e-06,8.187213662662539e-06,8.187213662662539e-06,8.187213662662539e-06,8.187213662662539e-06,8.187213662662539e-06,4.0936068313312695e-06,,0.0006507616490125656,2.0454819509759545
120,1.5447323322296143,0.02,0.0006549362422029747,0.6586332321166992,0.3546990156173706,0.5314001441001892,7.75e-05,7.75e-06,7.75e-06,7.75e-06,7.75e-06,7.75e-06,7.75e-06,7.75e-06,7.75e-06,7.75e-06,7.75e-06,7.75e-06,7.75e-06,7.75e-06,7.75e-06,7.75e-06,7.75e-06,7.75e-06,7.75e-06,7.75e-06,3.875e-06,,0.0005318401381373405,1.987262049689889
130,1.693365216255188,0.02,0.0005503342484241311,0.6629370450973511,0.4195627272129059,0.6108654737472534,7.282358947176207e-05,7.282358947176207e-06,7.282358947176207e-06,7.282358947176207e-06,7.282358947176207e-06,7.282358947176207e-06,7.282358947176207e-06,7.282358947176207e-06,7.282358947176207e-06,7.282358947176207e-06,7.282358947176207e-06,7.282358947176207e-06,7.282358947176207e-06,7.282358947176207e-06,7.282358947176207e-06,7.282358947176207e-06,7.282358947176207e-06,7.282358947176207e-06,7.282358947176207e-06,7.282358947176207e-06,1.8205897367940517e-06,,0.0008417423814535141,1.996326930820942
140,0.9907257556915283,0.02,0.0005503342484241311,0.4504474103450775,0.2415180504322052,0.2987602651119232,6.790614547199907e-05,6.790614547199908e-06,6.790614547199908e-06,6.790614547199908e-06,6.790614547199908e-06,6.790614547199908e-06,6.790614547199908e-06,6.790614547199908e-06,6.790614547199908e-06,6.790614547199908e-06,6.790614547199908e-06,6.790614547199908e-06,6.790614547199908e-06,6.790614547199908e-06,6.790614547199908e-06,6.790614547199908e-06,6.790614547199908e-06,6.790614547199908e-06,6.790614547199908e-06,6.790614547199908e-06,1.697653636799977e-06,,0.0005221236497163773,2.091972714290023
150,1.4354556798934937,0.02,0.0007970029482767013,0.5571244359016418,0.2917150855064392,0.5866161584854126,6.281416799501188e-05,6.281416799501188e-06,6.281416799501188e-06,6.281416799501188e-06,6.281416799501188e-06,6.281416799501188e-06,6.281416799501188e-06,6.281416799501188e-06,6.281416799501188e-06,6.281416799501188e-06,6.281416799501188e-06,6.281416799501188e-06,6.281416799501188e-06,6.281416799501188e-06,6.281416799501188e-06,6.281416799501188e-06,6.281416799501188e-06,6.281416799501188e-06,6.281416799501188e-06,6.281416799501188e-06,1.570354199875297e-06,0.0202109089919499,0.0007509328424930573,11.188741852529347
160,1.1279761791229248,0.02,0.0007970029482767013,0.5202118754386902,0.22865940630435944,0.379104882478714,5.761651730097142e-05,5.761651730097142e-06,5.761651730097142e-06,5.761651730097142e-06,5.761651730097142e-06,5.761651730097142e-06,5.761651730097142e-06,5.761651730097142e-06,5.761651730097142e-06,5.761651730097142e-06,5.761651730097142e-06,5.761651730097142e-06,5.761651730097142e-06,5.761651730097142e-06,5.761651730097142e-06,5.761651730097142e-06,5.761651730097142e-06,5.761651730097142e-06,5.761651730097142e-06,5.761651730097142e-06,7.202064662621428e-07,,0.0007630558684468269,2.0423162560909986
170,1.5345735549926758,0.03,0.0007970029482767013,0.667162299156189,0.34359925985336304,0.5238121151924133,5.23834826990286e-05,5.23834826990286e-06,5.23834826990286e-06,5.23834826990286e-06,5.23834826990286e-06,5.23834826990286e-06,5.23834826990286e-06,5.23834826990286e-06,5.23834826990286e-06,5.23834826990286e-06,5.23834826990286e-06,5.23834826990286e-06,5.23834826990286e-06,5.23834826990286e-06,5.23834826990286e-06,5.23834826990286e-06,5.23834826990286e-06,5.23834826990286e-06,5.23834826990286e-06,5.23834826990286e-06,6.547935337378575e-07,,0.0008012726902961731,2.0340759865939617
180,1.3176720142364502,0.03,0.0008758696390478438,0.5185253620147705,0.3068675100803375,0.4922792315483093,4.718583200498814e-05,4.718583200498814e-06,4.718583200498814e-06,4.718583200498814e-06,4.718583200498814e-06,4.718583200498814e-06,4.718583200498814e-06,4.718583200498814e-06,4.718583200498814e-06,4.718583200498814e-06,4.718583200498814e-06,4.718583200498814e-06,4.718583200498814e-06,4.718583200498814e-06,4.718583200498814e-06,4.718583200498814e-06,4.718583200498814e-06,4.718583200498814e-06,4.718583200498814e-06,4.718583200498814e-06,2.949114500311759e-07,,0.0008418532088398933,2.0461851991713047
190,1.0868065357208252,0.03,0.0008758696390478438,0.4994069039821625,0.2254549264907837,0.36194470524787903,4.209385452800095e-05,4.2093854528000955e-06,4.2093854528000955e-06,4.2093854528000955e-06,4.2093854528000955e-06,4.2093854528000955e-06,4.2093854528000955e-06,4.2093854528000955e-06,4.2093854528000955e-06,4.2093854528000955e-06,4.2093854528000955e-06,4.2093854528000955e-06,4.2093854528000955e-06,4.2093854528000955e-06,4.2093854528000955e-06,4.2093854528000955e-06,4.2093854528000955e-06,4.2093854528000955e-06,4.2093854528000955e-06,4.2093854528000955e-06,2.6308659080000597e-07,,0.0009005116298794746,2.020269386470318
200,1.1263654232025146,0.03,0.0010001768809892115,0.5010275840759277,0.27360793948173523,0.3517298400402069,3.717641052823794e-05,3.7176410528237942e-06,3.7176410528237942e-06,3.7176410528237942e-06,3.7176410528237942e-06,3.7176410528237942e-06,3.7176410528237942e-06,3.7176410528237942e-06,3.7176410528237942e-06,3.7176410528237942e-06,3.7176410528237942e-06,3.7176410528237942e-06,3.7176410528237942e-06,3.7176410528237942e-06,3.7176410528237942e-06,3.7176410528237942e-06,3.7176410528237942e-06,3.7176410528237942e-06,3.7176410528237942e-06,3.7176410528237942e-06,2.3235256580148714e-07,0.018525098051343645,0.0004783300682902336,11.59688610304147
210,1.1648569107055664,0.03,0.0010001768809892115,0.4489937722682953,0.2755710482597351,0.4402921795845032,3.250000000000001e-05,3.2500000000000015e-06,3.2500000000000015e-06,3.2500000000000015e-06,3.2500000000000015e-06,3.2500000000000015e-06,3.2500000000000015e-06,3.2500000000000015e-06,3.2500000000000015e-06,3.2500000000000015e-06,3.2500000000000015e-06,3.2500000000000015e-06,3.2500000000000015e-06,3.2500000000000015e-06,3.2500000000000015e-06,3.2500000000000015e-06,3.2500000000000015e-06,3.2500000000000015e-06,3.2500000000000015e-06,3.2500000000000015e-06,1.6250000000000009e-07,,0.0007058540359139442,2.1077003590762615
220,0.999106228351593,0.03,0.0010001768809892115,0.40771785378456116,0.24096707999706268,0.35042130947113037,2.8127863373374635e-05,2.8127863373374637e-06,2.8127863373374637e-06,2.8127863373374637e-06,2.8127863373374637e-06,2.8127863373374637e-06,2.8127863373374637e-06,2.8127863373374637e-06,2.8127863373374637e-06,2.8127863373374637e-06,2.8127863373374637e-06,2.8127863373374637e-06,2.8127863373374637e-06,2.8127863373374637e-06,2.8127863373374637e-06,2.8127863373374637e-06,2.8127863373374637e-06,2.8127863373374637e-06,2.8127863373374637e-06,2.8127863373374637e-06,1.4063931686687319e-07,,0.0006015580147504807,2.157848601229489
230,1.158166766166687,0.04,0.0010751030757581992,0.5220198035240173,0.26278725266456604,0.37335970997810364,2.4119126295906998e-05,2.4119126295906997e-06,2.4119126295906997e-06,2.4119126295906997e-06,2.4119126295906997e-06,2.4119126295906997e-06,2.4119126295906997e-06,2.4119126295906997e-06,2.4119126295906997e-06,2.4119126295906997e-06,2.4119126295906997e-06,2.4119126295906997e-06,2.4119126295906997e-06,2.4119126295906997e-06,2.4119126295906997e-06,2.4119126295906997e-06,2.4119126295906997e-06,2.4119126295906997e-06,2.4119126295906997e-06,2.4119126295906997e-06,1.2059563147953499e-07,,0.0006576953455805779,1.9769618855789304
240,1.0655580759048462,0.04,0.0010751030757581992,0.5027312636375427,0.25606438517570496,0.3067624568939209,2.0528000059645997e-05,2.0528000059646e-06,2.0528000059646e-06,2.0528000059646e-06,2.0528000059646e-06,2.0528000059646e-06,2.0528000059646e-06,2.0528000059646e-06,2.0528000059646e-06,2.0528000059646e-06,2.0528000059646e-06,2.0528000059646e-06,2.0528000059646e-06,2.0528000059646e-06,2.0528000059646e-06,2.0528000059646e-06,2.0528000059646e-06,2.0528000059646e-06,2.0528000059646e-06,2.0528000059646e-06,1.0264000029822999e-07,,0.0007693320512771606,2.095389178954065
250,1.118147850036621,0.04,0.0011096577613815427,0.5581496953964233,0.24260148406028748,0.3173966109752655,1.7403048486417866e-05,1.7403048486417868e-06,1.7403048486417868e-06,1.7403048486417868e-06,1.7403048486417868e-06,1.7403048486417868e-06,1.7403048486417868e-06,1.7403048486417868e-06,1.7403048486417868e-06,1.7403048486417868e-06,1.7403048486417868e-06,1.7403048486417868e-06,1.7403048486417868e-06,1.7403048486417868e-06,1.7403048486417868e-06,1.7403048486417868e-06,1.7403048486417868e-06,1.7403048486417868e-06,1.7403048486417868e-06,1.7403048486417868e-06,8.701524243208934e-08,0.017260917595454624,0.0008600279688835144,11.277311191894114
260,1.0979413986206055,0.04,0.0011096577613815427,0.4438566565513611,0.27823635935783386,0.3758484423160553,1.4786531185446454e-05,1.4786531185446455e-06,1.4786531185446455e-06,1.4786531185446455e-06,1.4786531185446455e-06,1.4786531185446455e-06,1.4786531185446455e-06,1.4786531185446455e-06,1.4786531185446455e-06,1.4786531185446455e-06,1.4786531185446455e-06,1.4786531185446455e-06,1.4786531185446455e-06,1.4786531185446455e-06,1.4786531185446455e-06,1.4786531185446455e-06,1.4786531185446455e-06,1.4786531185446455e-06,1.4786531185446455e-06,1.4786531185446455e-06,7.393265592723227e-08,,0.0009248415008187294,2.1294146617874503
270,1.063158392906189,0.04,0.0011096577613815427,0.41101548075675964,0.2523020803928375,0.3998408615589142,1.2713832064634126e-05,1.2713832064634127e-06,1.2713832064634127e-06,1.2713832064634127e-06,1.2713832064634127e-06,1.2713832064634127e-06,1.2713832064634127e-06,1.2713832064634127e-06,1.2713832064634127e-06,1.2713832064634127e-06,1.2713832064634127e-06,1.2713832064634127e-06,1.2713832064634127e-06,1.2713832064634127e-06,1.2713832064634127e-06,1.2713832064634127e-06,1.2713832064634127e-06,1.2713832064634127e-06,1.2713832064634127e-06,1.2713832064634127e-06,6.356916032317064e-08,,0.0006662746891379356,2.04291854146868
280,1.0757492780685425,0.04,0.0011056978317854533,0.4421868324279785,0.27739477157592773,0.3561677038669586,1.121298082390793e-05,1.1212980823907928e-06,1.1212980823907928e-06,1.1212980823907928e-06,1.1212980823907928e-06,1.1212980823907928e-06,1.1212980823907928e-06,1.1212980823907928e-06,1.1212980823907928e-06,1.1212980823907928e-06,1.1212980823907928e-06,1.1212980823907928e-06,1.1212980823907928e-06,1.1212980823907928e-06,1.1212980823907928e-06,1.1212980823907928e-06,1.1212980823907928e-06,1.1212980823907928e-06,1.1212980823907928e-06,1.1212980823907928e-06,5.606490411953965e-08,,0.0007056519389152527,2.0871136290952563
290,0.7877187132835388,0.04,0.0011056978317854533,0.3709559738636017,0.22936886548995972,0.18739384412765503,1.0304273901612564e-05,1.0304273901612564e-06,1.0304273901612564e-06,1.0304273901612564e-06,1.0304273901612564e-06,1.0304273901612564e-06,1.0304273901612564e-06,1.0304273901612564e-06,1.0304273901612564e-06,1.0304273901612564e-06,1.0304273901612564e-06,1.0304273901612564e-06,1.0304273901612564e-06,1.0304273901612564e-06,1.0304273901612564e-06,1.0304273901612564e-06,1.0304273901612564e-06,1.0304273901612564e-06,1.0304273901612564e-06,1.0304273901612564e-06,5.1521369508062826e-08,,0.000600351020693779,2.030610059387982
300,1.0149658918380737,0.05,0.0011301600183312845,0.46722277998924255,0.2273222804069519,0.32042089104652405,9.999999999999999e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,5.0000000000000004e-08,0.016047883246626173,0.0006774589419364929,11.744633546099067
