step,action_dit_loss,epoch,lab/drift,lab/loss_gr00t,lab/loss_oft,lab/loss_pi,learning_rate/heads,learning_rate/project_layers,learning_rate/qwen_vl_interface,mse_score,timing/data,timing/model
10,3.124336004257202,0.0,5.2427198385076835e-17,1.127024531364441,0.8349023461341858,1.1624090671539307,3.3333333333333335e-05,3.3333333333333335e-05,3.3333333333333333e-06,,0.0007490217685699463,3.04946362785995
20,3.002737045288086,0.0,5.2427198385076835e-17,1.080965518951416,0.674544095993042,1.2472273111343384,6.666666666666667e-05,6.666666666666667e-05,6.666666666666667e-06,,0.0008751759305596352,3.0962419724091887
30,2.567072868347168,0.0,3.607457756028677e-06,1.0675925016403198,0.4900251626968384,1.0094550848007202,0.0001,0.0001,1e-05,,0.0010221712291240692,3.035247358493507
40,1.8329541683197021,0.01,3.607457756028677e-06,0.888735830783844,0.38525494933128357,0.5589634776115417,9.967544117161328e-05,9.967544117161328e-05,9.967544117161327e-06,,0.0010872473940253258,2.4608075451105833
50,2.110354423522949,0.01,0.00010634887659848509,0.9149215221405029,0.3683377802371979,0.8270951509475708,9.870615378783155e-05,9.870615378783155e-05,9.870615378783155e-06,0.021724651966776167,0.000695541501045227,16.517523259855807
60,1.9270275831222534,0.01,0.00010634887659848509,0.8939619660377502,0.40414831042289734,0.6289173364639282,9.71052457977236e-05,9.71052457977236e-05,9.710524579772362e-06,,0.0005093850195407867,2.953071448020637
70,1.6365227699279785,0.01,0.00010634887659848509,0.884487509727478,0.24938134849071503,0.5026540160179138,9.48943667355238e-05,9.48943667355238e-05,9.48943667355238e-06,,0.0005080355331301689,2.5985317593440413
80,1.7659072875976562,0.01,0.00037729337301212814,0.8207414150238037,0.290690541267395,0.6544753313064575,9.210341494782096e-05,9.210341494782096e-05,9.210341494782097e-06,,0.0008567990735173225,2.9318769201636314
90,1.6772518157958984,0.01,0.00037729337301212814,0.757337212562561,0.2968815565109253,0.6230329871177673,8.877013326971095e-05,8.877013326971095e-05,8.877013326971095e-06,,0.000920075923204422,2.9161532893776894
100,1.6423821449279785,0.02,0.0007934949736924657,0.77962726354599,0.3574802577495575,0.5052746534347534,8.493959861769923e-05,8.493959861769923e-05,8.493959861769923e-06,0.018511461360113963,0.0006965175271034241,16.060403794050217
110,1.4608960151672363,0.02,0.0007934949736924657,0.6463997960090637,0.37732937932014465,0.43716686964035034,8.066361240173374e-05,8.066361240173374e-05,8.066361240173374e-06,,0.0006634155288338661,2.8520223442465067
120,1.529436707496643,0.02,0.0007934949736924657,0.6519531607627869,0.4310241639614105,0.44645944237709045,7.6e-05,7.6e-05,7.600000000000001e-06,,0.0006188778206706047,2.6900024944916368
130,1.5951337814331055,0.02,0.001067420827568592,0.6659337878227234,0.370487779378891,0.5587121844291687,7.101182876987953e-05,7.101182876987953e-05,7.101182876987953e-06,,0.000702287070453167,2.3104168009012938
140,1.099038004875183,0.02,0.001067420827568592,0.4584427773952484,0.2753855586051941,0.3652097284793854,6.576655517013234e-05,6.576655517013234e-05,6.5766555170132344e-06,,0.000792425125837326,2.609213173389435
150,1.3654756546020508,0.02,0.0011897171869740418,0.5462477803230286,0.26017794013023376,0.5590500235557556,6.033511252801267e-05,6.033511252801267e-05,6.033511252801267e-06,0.020777119057519094,0.0007383218035101891,14.122775574214756
160,1.1530877351760864,0.02,0.0011897171869740418,0.50742107629776,0.2412324696779251,0.4044342339038849,5.479095178770284e-05,5.479095178770284e-05,5.479095178770284e-06,,0.0005718804895877838,2.6316014397889376
170,1.5589594841003418,0.03,0.0011897171869740418,0.6810551285743713,0.3723737299442291,0.5055305361747742,4.920904821229716e-05,4.920904821229716e-05,4.920904821229716e-06,,0.0006104046478867531,2.6207656376063824
180,1.3257317543029785,0.03,0.0011770659313002734,0.5222555994987488,0.30511537194252014,0.4983607828617096,4.3664887471987345e-05,4.3664887471987345e-05,4.366488747198735e-06,,0.0007170001044869423,2.7147389268502593
190,1.131081461906433,0.03,0.0011770659313002734,0.5166026949882507,0.2281266152858734,0.38635215163230896,3.823344482986768e-05,3.823344482986768e-05,3.8233444829867685e-06,,0.0007224837318062782,2.705132493749261
200,1.0664390325546265,0.03,0.0012801702998641246,0.48758643865585327,0.24296855926513672,0.33588406443595886,3.2988171230120465e-05,3.2988171230120465e-05,3.298817123012047e-06,0.019327095576695034,0.0007925331592559814,14.130407338030636
210,1.1781283617019653,0.03,0.0012801702998641246,0.4689483642578125,0.2621827721595764,0.44699719548225403,2.800000000000001e-05,2.800000000000001e-05,2.800000000000001e-06,,0.0006792275235056877,2.158954380080104
220,1.0431761741638184,0.03,0.0012801702998641246,0.40789827704429626,0.26639819145202637,0.36887961626052856,2.3336387598266272e-05,2.3336387598266272e-05,2.3336387598266276e-06,,0.0007166508585214615,2.3284874632954597
230,1.1550543308258057,0.04,0.0014406064435182702,0.51127690076828,0.25984421372413635,0.3839331567287445,1.906040138230079e-05,1.906040138230079e-05,1.906040138230079e-06,,0.0007809745147824287,2.7079525319859385
240,1.0852469205856323,0.04,0.0014406064435182702,0.5358160734176636,0.2558269202709198,0.2936038672924042,1.5229866730289061e-05,1.5229866730289061e-05,1.5229866730289062e-06,,0.0007878141477704048,2.291544414125383
250,1.0804312229156494,0.04,0.0014454856795255249,0.5260657668113708,0.23731757700443268,0.31704795360565186,1.1896585052179059e-05,1.1896585052179059e-05,1.189658505217906e-06,0.016503688480172838,0.0006759343668818474,14.113834403455257
260,1.0217297077178955,0.04,0.0014454856795255249,0.40534982085227966,0.2556462585926056,0.36073359847068787,9.105633264476216e-06,9.105633264476216e-06,9.105633264476216e-07,,0.0006550448015332222,2.4539794716984034
270,1.0517040491104126,0.04,0.0014454856795255249,0.4237893521785736,0.2427712231874466,0.3851434290409088,6.8947542022764005e-06,6.8947542022764005e-06,6.8947542022764e-07,,0.000649978406727314,2.7892341585829854
280,1.0449309349060059,0.04,0.0014614467965965345,0.41760513186454773,0.2713097035884857,0.3560160994529724,5.293846212168457e-06,5.293846212168457e-06,5.293846212168457e-07,,0.0007104063406586647,2.5527361277490854
290,0.7665840983390808,0.04,0.0014614467965965345,0.3570757806301117,0.21522165834903717,0.19428665935993195,4.324558828386734e-06,4.324558828386734e-06,4.3245588283867346e-07,,0.0005922885611653328,2.5549802100285888
300,1.0211247205734253,0.05,0.0014623219719305648,0.474237859249115,0.22446157038211823,0.32242530584335327,4e-06,4e-06,4e-07,0.01622037695986884,0.0006326166912913322,14.764673370867968
