step,action_dit_loss,epoch,lab/drift,learning_rate/action_model,learning_rate/qwen_vl_interface,mse_score,timing/data,timing/model
10,0.9073278903961182,0.0,0.0,3.3333333333333335e-05,3.3333333333333333e-06,,0.001041477546095848,1.7973532481119037
20,0.610386312007904,0.0,0.0,6.666666666666667e-05,6.666666666666667e-06,,0.0009967070072889328,2.1943844594061375
30,0.636397659778595,0.0,0.013324983015074735,0.0001,1e-05,,0.0020813187584280968,1.897895579226315
40,0.5799852609634399,0.01,0.013324983015074735,9.967544117161328e-05,9.967544117161327e-06,,0.0005329232662916183,1.7747203400358558
50,0.40827685594558716,0.01,0.013324983015074735,9.870615378783155e-05,9.870615378783155e-06,0.02154454163142613,0.0009348597377538681,1.723387117497623
60,0.4037436246871948,0.01,0.02050131428943082,9.71052457977236e-05,9.710524579772362e-06,,0.00042373593896627426,1.9975621700286865
70,0.3093090057373047,0.01,0.02050131428943082,9.48943667355238e-05,9.48943667355238e-06,,0.0007506916299462318,1.9964919090270996
80,0.4375946521759033,0.01,0.004272003528807787,9.210341494782096e-05,9.210341494782097e-06,,0.0008990773931145668,1.8534064795821905
90,0.34802642464637756,0.01,0.004272003528807787,8.877013326971095e-05,8.877013326971095e-06,,0.0008579688146710396,2.0484651206061244
100,0.3463897109031677,0.02,0.004272003528807787,8.493959861769923e-05,8.493959861769923e-06,0.01603429232324873,0.0007923431694507599,1.8736255690455437
110,0.28860652446746826,0.02,0.0074250082628463015,8.066361240173374e-05,8.066361240173374e-06,,0.001002841629087925,1.8909306824207306
120,0.341053307056427,0.02,0.0074250082628463015,7.6e-05,7.600000000000001e-06,,0.0007467037066817284,1.8179274667054415
130,0.3610497713088989,0.02,0.10613512658236024,7.101182876987953e-05,7.101182876987953e-06,,0.0008027609437704086,1.8163792667910457
140,0.26080378890037537,0.02,0.10613512658236024,6.576655517013234e-05,6.5766555170132344e-06,,0.0004984959959983826,1.8362489342689514
150,0.32434511184692383,0.02,0.10613512658236024,6.033511252801267e-05,6.033511252801267e-06,0.02136189809867314,0.0005892133340239525,1.7971654599532485
160,0.2477206587791443,0.02,0.011326049504401213,5.479095178770284e-05,5.479095178770284e-06,,0.000794517807662487,2.1266980869695544
170,0.3328746557235718,0.03,0.011326049504401213,4.920904821229716e-05,4.920904821229716e-06,,0.0007593398913741112,1.7511940198019147
180,0.3094480037689209,0.03,0.021950307632939918,4.3664887471987345e-05,4.366488747198735e-06,,0.0007817568257451057,1.7356931865215302
190,0.24239541590213776,0.03,0.021950307632939918,3.823344482986768e-05,3.8233444829867685e-06,,0.001028698869049549,1.5976941287517548
200,0.27044185996055603,0.03,0.021950307632939918,3.2988171230120465e-05,3.298817123012047e-06,0.0183598165001188,0.0006688321009278297,1.698140718974173
210,0.23196639120578766,0.03,0.0028847226480840124,2.800000000000001e-05,2.800000000000001e-06,,0.000730631873011589,1.6904348721727729
220,0.2516539990901947,0.03,0.0028847226480840124,2.3336387598266272e-05,2.3336387598266276e-06,,0.0006170505657792091,1.9346016813069582
230,0.2523459792137146,0.04,0.010977543169332122,1.906040138230079e-05,1.906040138230079e-06,,0.0008427305147051811,1.9973172452300787
240,0.2529698610305786,0.04,0.010977543169332122,1.5229866730289061e-05,1.5229866730289062e-06,,0.0007846914231777191,1.8961367290467024
250,0.2465716004371643,0.04,0.010977543169332122,1.1896585052179059e-05,1.189658505217906e-06,0.01701218102659498,0.0008193263784050941,1.9957575146108866
260,0.26510387659072876,0.04,0.010642748443621595,9.105633264476216e-06,9.105633264476216e-07,,0.0007341271266341209,1.7730353577062488
270,0.24565118551254272,0.04,0.010642748443621595,6.8947542022764005e-06,6.8947542022764e-07,,0.0009200256317853928,1.743895061314106
280,0.2646564543247223,0.04,0.04819027889918107,5.293846212168457e-06,5.293846212168457e-07,,0.0010167453438043594,1.9928482128307223
290,0.22573983669281006,0.04,0.04819027889918107,4.324558828386734e-06,4.3245588283867346e-07,,0.0006694905459880829,1.8983764490112662
300,0.22035063803195953,0.05,0.04819027889918107,4e-06,4e-07,0.016761150743280138,0.0008314959704875946,1.7901093447580934
