step,action_dit_loss,epoch,lab/drift,lab/loss_gr00t,lab/loss_oft,lab/loss_pi,learning_rate/heads,learning_rate/project_layers,learning_rate/qwen_vl_interface,mse_score,timing/data,timing/model
150,1.4264156818389893,0.02,0.023275243492513552,0.5716564059257507,0.27841031551361084,0.5763489007949829,6.033511252801267e-05,6.033511252801267e-05,6.033511252801267e-06,0.020730755158833096,0.0005793701857328415,2.6677809869870543
160,1.1099578142166138,0.02,0.010878652965598408,0.5520475506782532,0.20086830854415894,0.35704198479652405,5.479095178770284e-05,5.479095178770284e-05,5.479095178770284e-06,,0.0010379534214735031,2.938528172671795
170,1.5096149444580078,0.03,0.010878652965598408,0.6577434539794922,0.3481999933719635,0.5036715269088745,4.920904821229716e-05,4.920904821229716e-05,4.920904821229716e-06,,0.00074820127338171,2.895244911313057
180,1.336246371269226,0.03,0.005761556813936693,0.5267614126205444,0.3132280111312866,0.496256947517395,4.3664887471987345e-05,4.3664887471987345e-05,4.366488747198735e-06,,0.0005537476390600204,2.812108921818435
190,1.1198394298553467,0.03,0.005761556813936693,0.5164200067520142,0.23477403819561005,0.36864539980888367,3.823344482986768e-05,3.823344482986768e-05,3.8233444829867685e-06,,0.0006595822051167488,2.80655646789819
200,1.1448841094970703,0.03,0.005761556813936693,0.47685039043426514,0.27475982904434204,0.3932739198207855,3.2988171230120465e-05,3.2988171230120465e-05,3.298817123012047e-06,0.01856009236403874,0.0006983336061239243,2.8064196929335594
210,1.1467658281326294,0.03,0.005672913427840215,0.44985467195510864,0.25699636340141296,0.4399147927761078,2.800000000000001e-05,2.800000000000001e-05,2.800000000000001e-06,,0.0006563011556863785,2.547301453538239
220,0.9982597827911377,0.03,0.005672913427840215,0.4177808463573456,0.22908629477024078,0.3513926565647125,2.3336387598266272e-05,2.3336387598266272e-05,2.3336387598266276e-06,,0.0005734385922551155,2.8414126969873905
230,1.1380970478057861,0.04,0.017300017963500766,0.5109465718269348,0.2544238269329071,0.372726708650589,1.906040138230079e-05,1.906040138230079e-05,1.906040138230079e-06,,0.0011813221499323845,2.8011751510202885
240,1.0849502086639404,0.04,0.017300017963500766,0.5321506261825562,0.25656360387802124,0.2962360382080078,1.5229866730289061e-05,1.5229866730289061e-05,1.5229866730289062e-06,,0.0005662152543663979,2.3955837106332183
250,1.124908447265625,0.04,0.017300017963500766,0.5586785078048706,0.24961163103580475,0.31661826372146606,1.1896585052179059e-05,1.1896585052179059e-05,1.189658505217906e-06,0.017138775970254625,0.0005998415872454643,2.739072073251009
260,1.0836328268051147,0.04,0.07097876125937858,0.4483559727668762,0.2606133818626404,0.37466350197792053,9.105633264476216e-06,9.105633264476216e-06,9.105633264476216e-07,,0.0017221448943018913,2.495261052623391
270,1.0411733388900757,0.04,0.07097876125937858,0.4236927330493927,0.24683067202568054,0.37064996361732483,6.8947542022764005e-06,6.8947542022764005e-06,6.8947542022764e-07,,0.001796799711883068,2.72413320094347
280,1.0806487798690796,0.04,0.010142034497185466,0.4564102292060852,0.2706183195114136,0.3536202609539032,5.293846212168457e-06,5.293846212168457e-06,5.293846212168457e-07,,0.0010962588712573051,2.367649272084236
290,0.789691150188446,0.04,0.010142034497185466,0.3695802092552185,0.22200483083724976,0.19810611009597778,4.324558828386734e-06,4.324558828386734e-06,4.3245588283867346e-07,,0.0009094215929508209,2.816635482944548
300,0.9936245679855347,0.05,0.010142034497185466,0.46124178171157837,0.216106116771698,0.3162766396999359,4e-06,4e-06,4e-07,0.016864534999643053,0.0007561361417174339,2.616385350935161
