step,mean,max,max_layer,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35
0,0.0,0.0,layer_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.03319965060993234,0.07929877565611099,layer_16,2.119923014909375e-09,3.988638563878766e-08,7.279594427256342e-08,2.3000202709066997e-07,5.232271028665636e-07,7.042412329960612e-07,2.556473014614369e-06,3.979548360955043e-06,6.813239681324745e-06,1.1450384761801935e-05,1.3544413497323937e-05,1.2084015991176145e-05,8.075621565906133e-06,5.240237359482869e-06,3.987074682521019e-06,4.2251865649545195e-06,0.07929877565611099,0.07584689073671702,0.07573014901471142,0.07513378357522138,0.07455719791545357,0.07488379777197995,0.07417058803063392,0.07403731695758298,0.07298750142934518,0.07294842908659982,0.07183279936159515,0.0711097600045495,0.06852955903724522,0.061750296247967684,0.0539659758925255,0.0446514838022285,0.03853485550468272,0.03381616506953666,0.0009329741580662576,0.00039559423671498006
100,0.04903611240571989,0.11664999793372233,layer_16,2.6238010653045762e-09,4.730037905797957e-08,7.154422621002965e-08,1.620014695724592e-07,4.0976777992973723e-07,1.1002541359106388e-06,2.6908008636805647e-06,3.850136123806358e-06,6.117988117448903e-06,8.102148976951717e-06,1.0077506021999305e-05,6.151596125492098e-06,4.284825161016137e-06,4.708970703481974e-06,4.330622126680339e-06,4.4196194363133046e-06,0.11664999793372233,0.11390846473982508,0.11346684488233538,0.11241875969233617,0.11159356991153846,0.11189635862003955,0.11062989209201246,0.11025189338371211,0.10824522042114848,0.10782872025052437,0.10586025674790767,0.10472119968967963,0.10072512010795576,0.09009338030935554,0.07818722205511808,0.0638727537694207,0.05444928688541506,0.047439716457537084,0.00141653767432659,0.0015883232765570021
150,0.06873941814690301,0.16048944427663903,layer_16,2.6648653284055968e-09,4.586452784227646e-08,6.72241650123695e-08,1.2418985539941474e-07,4.181678687764645e-07,1.214266464599767e-06,2.7720306199352507e-06,3.7905514548297603e-06,6.274552141194434e-06,1.0509878496822722e-05,1.3150664638805765e-05,1.1298292468930882e-05,7.310730486431716e-06,6.863767268328047e-06,4.310471872548405e-06,5.047371935629208e-06,0.16048944427663903,0.16011688938110813,0.15944011973971395,0.15815564516152247,0.15678019743824245,0.15743044137417217,0.15573007568341035,0.1556674419288896,0.15196995587608608,0.1511738190394437,0.14847252175583403,0.14645164853825943,0.14119231903955043,0.12576562639053634,0.10887991145415199,0.08813497434798778,0.07465766456332501,0.06531657492129006,0.002896856783445423,0.005823724905769545
200,0.0625305373324794,0.1457619454956215,layer_16,2.84010015505487e-09,6.663060059253212e-08,8.434207143803718e-08,1.9648785010151215e-07,6.180814116074629e-07,1.2463297126563688e-06,2.2755952484576625e-06,3.8257097023652875e-06,7.794765411017757e-06,1.2085361091207503e-05,1.1139367561030511e-05,7.848506689556167e-06,5.371208744664457e-06,4.183022633386102e-06,3.3512340190666734e-06,4.085744694570792e-06,0.1457619454956215,0.14161096505188964,0.14133346127506619,0.14011161088024915,0.13879573955855729,0.13930320468422475,0.13823039729958408,0.13882838913495688,0.13682809351299696,0.13647668817606706,0.13422389031952753,0.13296557753787952,0.1284223542958277,0.11696862808555275,0.1026194238209045,0.08517494082618349,0.07379822989329654,0.06472580816635998,0.0039090726922503816,0.0109467480347204
250,0.002704207184275479,0.010421214918707511,layer_33,2.7701615445963057e-09,4.550054710783513e-08,5.305783457032476e-08,2.053568657345295e-07,3.440770284246497e-07,1.041149830904864e-06,2.3496739702810743e-06,3.679564939185198e-06,7.264296330244946e-06,1.0387548776913391e-05,1.4340181836991484e-05,1.0183791666618092e-05,5.729511110996732e-06,5.286929600667456e-06,5.122852891004115e-06,4.588071500943869e-06,0.003229231059842297,0.003140655515052604,0.0031496698656481303,0.003143492041030038,0.0031448969336212995,0.003150127811523795,0.0031648732896030207,0.0032302618514140624,0.003296955775701327,0.003298104034197391,0.0035735038621297344,0.003782121746069844,0.004255144991281878,0.005828662407661778,0.006759412113206298,0.00802131735669942,0.009311620856869873,0.010421214918707511,0.0034735108616770205,0.009906057007087798
