step,mean,max,max_layer,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35
0,0.0,0.0,layer_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.05927059195933569,0.15353292042658995,layer_22,4.4592546988297954e-08,1.246192965487225e-07,1.8176595029117948e-07,4.430995527382464e-06,3.0888206281498576e-05,3.962262054646448e-05,3.5588357849558605e-07,0.00014713855568171397,4.467889113124457e-07,7.462210765973865e-07,1.6354175886856837e-06,6.568197533163289e-05,1.5600122068581967e-06,5.730420294614014e-06,0.0003838800826755362,3.7634092064919855e-06,0.14152439400085848,0.13577541967223994,0.1462259132653767,0.14893267496457274,0.1343343840474993,0.14575906059064814,0.15353292042658995,0.12491317204657482,0.13225488185115064,0.13403620685552375,0.12913156703985018,0.11814352705407938,0.11629828812446152,0.11042925980135276,0.08513342093137188,0.07659470839351623,0.05537786126534494,0.043379279885844446,0.0010198538391247292,0.00025828491340329496
100,0.011029100172771296,0.03247342199030101,layer_19,4.424748845099913e-08,9.071539086580316e-08,1.5723761948027715e-07,3.2464964294653953e-07,2.1640290703839327e-07,2.2433784996334083e-07,3.0654322735745865e-07,6.666663200560752e-05,4.4478171967732294e-07,7.525448881950947e-05,1.1495754087542664e-06,6.652021091657634e-05,0.00030471815818744474,7.505989040645922e-06,0.00039241442344684074,5.57074224483145e-06,0.023101027590805456,0.02548013010879213,0.026994694532804897,0.03247342199030101,0.01830556313980669,0.030437943128259093,0.026674653147817695,0.0272575311068598,0.017948362354403447,0.023851540170405694,0.028844339126300023,0.018258154869935317,0.01940072659480463,0.026986419349714685,0.017217902707438837,0.015475659407398146,0.008582074302223908,0.007926486735572613,0.0005270637454334315,0.0003823029747731521
150,0.03630411324570765,0.0948990892352558,layer_19,5.927502122471395e-08,1.477979320041456e-07,1.927184384298286e-07,1.5187429638685579e-05,3.081516175063026e-05,3.971315166317879e-05,0.0008003891623181714,0.00042236013730123645,0.0008374756136755312,0.0006906454958179875,0.0005515268845257548,0.0011085977273973535,0.000312806143534905,0.0014730383525577428,2.2945836366972117e-05,0.0008752930483617583,0.08824968006955747,0.0876161704438907,0.09041884551065671,0.0948990892352558,0.07483926182916945,0.09470408466289648,0.09073044320717472,0.08265933266324565,0.08030558459971537,0.08604465038062736,0.0730033766263698,0.06597453664529418,0.07437331361597443,0.06413020378015832,0.048465991547402276,0.04289663489904694,0.03063913893852943,0.026854864018237445,0.002023933130611444,0.0009377471053598763
200,0.04259720021978408,0.10365615999833988,layer_22,5.447512185785541e-08,1.2785550806970747e-07,2.000083073605552e-07,1.9156681784981977e-05,2.960057544187933e-05,4.03507033247541e-05,4.2947155778350066e-05,9.532272850609758e-05,0.00019225709123615875,0.0002109025622822891,8.12051830694216e-05,7.842429074178536e-05,6.473023278164014e-06,6.254832608409977e-06,1.2697295459718205e-05,0.0003304808071711296,0.10090143101757154,0.09351399259933035,0.09290115886001693,0.09435166188663469,0.10088360659735363,0.09011401658780571,0.10365615999833988,0.08728678318628103,0.09834912932919604,0.09344732618200902,0.09164458911606965,0.08755553133143112,0.09937464668211327,0.08173051484478633,0.06700143960869309,0.05021570893087102,0.04244505897176254,0.05324551979945158,0.0022827048101637937,0.001451772302725307
250,0.008481333749376334,0.023808905710609563,layer_25,4.0322745253895675e-08,1.4611322007862526e-07,1.4375553991641254e-07,4.867440075217999e-06,3.073494138783328e-05,3.993876446761746e-05,4.289183368633154e-05,6.459020816729222e-05,6.728508081543794e-05,8.098373622167365e-05,1.3181839757514524e-06,7.057155436041018e-05,2.2279584311890588e-06,7.1095194253967264e-06,0.0007976700353327093,6.079307623862995e-06,0.017909703206770322,0.013741228828105578,0.01930819299002018,0.01678280650514563,0.015389872265074378,0.021417564765258135,0.023599847876486724,0.015790699968525335,0.014233651318882767,0.023808905710609563,0.02086436743540865,0.014577317762990538,0.018654068587855788,0.018323416044284446,0.013361470326975877,0.012772657096103313,0.008086023267918852,0.010438993425572862,0.0031470817484177127,0.001903547091665403
